		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  225  237  262  241  250  248  259  250  4.453270 0.814090 SUCCESS   0
000000011  243  236  250  246  261  243  221  222  5.997537 0.647508 SUCCESS   1
000000101  246  251  224  234  230  257  241  249  4.055023 0.852125 SUCCESS   2
000000111  231  247  246  240  262  215  236  213 10.183368 0.252391 SUCCESS   3
000001001  257  246  253  243  261  249  242  259  3.319961 0.912705 SUCCESS   4
000001011  239  227  241  239  245  246  271  237  4.799618 0.778763 SUCCESS   5
000001101  239  245  252  238  290  255  234  245 10.390964 0.238650 SUCCESS   6
000001111  220  233  261  239  243  234  245  226  6.142643 0.631257 SUCCESS   7
000010001  232  245  246  249  227  238  249  267  4.460685 0.813353 SUCCESS   8
000010011  253  250  242  236  242  256  250  246  1.556447 0.991730 SUCCESS   9
000010101  236  258  234  253  237  258  254  236  3.586871 0.892344 SUCCESS  10
000010111  225  223  232  246  242  237  280  228 10.866531 0.209377 SUCCESS  11
000011001  253  254  244  232  229  251  246  239  2.665395 0.953572 SUCCESS  12
000011011  236  241  225  237  272  245  256  248  6.042022 0.642525 SUCCESS  13
000011101  236  258  225  256  256  225  223  231  8.009956 0.432498 SUCCESS  14
000011111  232  233  264  240  230  240  262  235  5.516675 0.701192 SUCCESS  15
000100011  231  242  240  241  234  229  261  253  3.806119 0.874179 SUCCESS  16
000100101  239  233  268  248  267  255  250  257  6.680700 0.571441 SUCCESS  17
000100111  264  240  244  223  252  235  258  226  6.459334 0.595922 SUCCESS  18
000101001  231  244  249  230  254  240  238  249  2.420728 0.965325 SUCCESS  19
000101011  246  257  253  244  252  247  251  258  2.364592 0.967746 SUCCESS  20
000101101  232  232  213  234  250  251  242  257  6.852285 0.552651 SUCCESS  21
000101111  241  236  244  241  226  250  268  242  4.334644 0.825739 SUCCESS  22
000110011  261  249  260  237  246  270  242  250  5.606704 0.691192 SUCCESS  23
000110101  241  246  236  244  280  262  241  227  8.426208 0.392981 SUCCESS  24
000110111  240  241  234  238  265  247  237  273  6.335411 0.609716 SUCCESS  25
000111001  282  248  240  242  263  258  247  235  8.945201 0.346940 SUCCESS  26
000111011  223  249  221  273  264  237  237  250 10.039321 0.262277 SUCCESS  27
000111101  250  269  252  237  251  221  234  239  6.257033 0.618465 SUCCESS  28
000111111  244  247  250  225  242  254  236  251  2.643153 0.954721 SUCCESS  29
001000011  230  250  257  220  251  230  256  251  6.002833 0.646915 SUCCESS  30
001000101  231  229  252  258  249  237  264  255  5.267770 0.728611 SUCCESS  31
001000111  230  270  255  232  211  259  280  243 15.849915 0.044579 SUCCESS  32
001001011  218  241  270  237  253  235  235  252  7.286544 0.506056 SUCCESS  33
001001101  252  252  230  254  245  249  239  225  3.548741 0.895374 SUCCESS  34
001001111  247  253  228  272  233  252  239  227  6.903125 0.547120 SUCCESS  35
001010011  239  212  241  226  237  255  226  220 10.490526 0.232270 SUCCESS  36
001010101  242  238  265  243  257  244  253  232  3.688551 0.884074 SUCCESS  37
001010111  239  230  265  260  244  242  255  236  4.670400 0.792153 SUCCESS  38
001011011  239  233  260  255  263  261  238  248  5.142789 0.742211 SUCCESS  39
001011101  268  280  227  202  229  252  255  237 18.576212 0.017298 SUCCESS  40
001011111  220  260  251  225  220  242  277  264 14.020732 0.081227 SUCCESS  41
001100101  256  244  226  238  241  237  248  218  5.359918 0.718506 SUCCESS  42
001100111  277  233  264  258  243  269  244  237 10.434390 0.235851 SUCCESS  43
001101011  267  251  243  248  250  264  247  229  5.310137 0.723972 SUCCESS  44
001101101  250  223  236  231  278  235  247  235  8.648634 0.372798 SUCCESS  45
001101111  239  222  270  237  281  252  229  266 14.256927 0.075310 SUCCESS  46
001110101  261  238  243  241  217  229  209  266 12.752908 0.120639 SUCCESS  47
001110111  228  251  219  289  259  251  245  243 13.654260 0.091234 SUCCESS  48
001111011  280  229  272  262  236  223  222  243 15.317153 0.053264 SUCCESS  49
001111101  226  260  235  219  213  263  237  233 11.839906 0.158491 SUCCESS  50
001111111  241  229  237  235  217  242  234  245  5.152321 0.741179 SUCCESS  51
010000011  232  261  218  252  253  232  249  269  8.662403 0.371570 SUCCESS  52
010000111  250  251  251  241  243  236  247  241  0.949544 0.998547 SUCCESS  53
010001011  226  251  233  236  229  258  247  249  4.316638 0.827485 SUCCESS  54
010001111  237  263  240  220  218  245  265  250  9.149620 0.329832 SUCCESS  55
010010011  242  252  214  288  219  247  212  234 19.798492 0.011126 SUCCESS  56
010010111  257  268  267  234  238  236  240  241  6.320583 0.611370 SUCCESS  57
010011011  253  237  250  244  270  245  242  233  4.078325 0.849988 SUCCESS  58
010011111  222  240  219  275  220  238  245  233 12.011491 0.150692 SUCCESS  59
010100011  243  257  271  245  232  241  232  234  5.492314 0.703891 SUCCESS  60
010100111  248  234  240  232  227  234  228  220  6.437092 0.598394 SUCCESS  61
010101011  230  265  251  220  254  245  255  242  6.294104 0.614325 SUCCESS  62
010101111  224  252  248  252  263  275  244  227  9.095602 0.334295 SUCCESS  63
010110011  227  244  237  248  226  249  228  270  6.951847 0.541837 SUCCESS  64
010110111  244  251  262  245  248  257  240  231  3.125074 0.926265 SUCCESS  65
010111011  265  269  223  220  261  272  229  242 14.310944 0.074012 SUCCESS  66
010111111  218  249  270  247  221  258  259  272 13.174457 0.105986 SUCCESS  67
011000111  216  254  214  248  260  238  270  266 13.763354 0.088146 SUCCESS  68
011001111  261  215  235  238  236  269  234  223 10.538189 0.229263 SUCCESS  69
011010111  265  258  224  224  252  259  237  236  7.788590 0.454389 SUCCESS  70
011011111  251  215  285  217  289  248  217  240 25.774316 0.001148 FAILURE  71
011101111  255  263  209  255  269  261  250  244 11.712806 0.164485 SUCCESS  72
011111111  244  222  259  237  216  275  241  227 11.900278 0.155709 SUCCESS  73
100000000  225  237  262  241  250  248  259  250  4.453270 0.814090 SUCCESS  74
100010000  220  229  230  243  257  244  244  242  5.007215 0.756805 SUCCESS  75
100100000  233  255  274  242  251  246  244  255  5.542095 0.698372 SUCCESS  76
100101000  232  269  238  245  283  233  252  230 11.441659 0.177908 SUCCESS  77
100110000  232  236  209  240  244  265  238  251  8.407143 0.394742 SUCCESS  78
100111000  222  246  252  241  243  266  228  230  6.372482 0.605584 SUCCESS  79
101000000  239  272  243  216  247  243  223  233  9.215288 0.324461 SUCCESS  80
101000100  242  253  230  245  247  237  259  221  4.654512 0.793783 SUCCESS  81
